id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
19097297,"Hyggelig familiehus,150 m2. 15 min til Oslo S.",126252543,Therese,,Stovner,59.95038814,10.9247332,Entire home/apt,998,7,0,,,1,0
19098100,Nice apartment with a cozy four seasons terrace!,27486987,Katherine,,Nordre Aker,59.95375161,10.79736564,Private room,347,2,0,,,1,0
19098673,Modern and bright room in central apartment,133416589,Jenny,,Grünerløkka,59.92731339,10.76107663,Private room,457,1,8,02/07/2017,0.46,1,0
19100645,Urban living in the heart of Oslo,8898394,Alvilde,,Gamle Oslo,59.90852138,10.76907675,Entire home/apt,761,5,0,,,1,0
19101015,2 floor apartment in charming Lille Tøyen,29104010,Benjamin,,Grünerløkka,59.92102037,10.78556464,Entire home/apt,990,5,2,17/02/2018,0.18,1,0
19107023,St.Haugen - Oslo,10957189,Kristine,,St. Hanshaugen,59.92651489,10.74979441,Entire home/apt,533,4,0,,,1,0
19107340,Clean and cozy apartment with great location!,30221513,Eva,,Grünerløkka,59.92138485,10.76555061,Entire home/apt,550,5,20,21/07/2018,1.13,1,0
19108048,"Charming flat w/balcony, quiet, near Grünerløkka",1970613,Angelica,,Grünerløkka,59.92676261,10.76880047,Entire home/apt,702,4,10,19/11/2018,0.59,1,9
19108310,Big apartment in the heart of Oslo,53581786,Martin,,Gamle Oslo,59.91189676,10.77827921,Entire home/apt,1201,4,9,12/08/2018,0.63,1,62
19108432,Modern central appartment near Aker Brygge,41950518,Annette,,Frogner,59.91206745,10.72132852,Entire home/apt,702,4,27,18/09/2018,1.61,1,48
19108566,Super central and quiet apartment in Majorstuen,18245458,Bjørn,,Frogner,59.923224,10.72481156,Entire home/apt,897,5,2,02/07/2017,0.12,1,30
19109030,"A supercozy, sentral and fresh apartment!",37709352,Kristine,,Grünerløkka,59.92062518,10.76533545,Entire home/apt,1497,7,0,,,1,0
19109231,"Central apartment at Majorstuen, Oslo. 2-3 guests.",133515533,Aksel,,Frogner,59.93254062,10.72051145,Entire home/apt,753,2,6,12/09/2017,0.34,1,0
19110432,Newly refurbished central apartment with patio,31545033,Andreas,,St. Hanshaugen,59.91911337,10.7391714,Entire home/apt,897,4,0,,,1,0
19112260,Beautiful townhouse in Oslos best - Sthanshaugen,56857450,Bård,,St. Hanshaugen,59.92610413,10.73726554,Entire home/apt,804,1,75,29/09/2018,4.36,1,324
19112354,Nice and central apartment in Oslo,62779068,Marit,,Sagene,59.94288122,10.77192046,Entire home/apt,601,4,16,28/09/2018,0.92,1,0
19113897,Rolig og etablert område i utkantOslo,133557465,Tonje,,Søndre Nordstrand,59.83994827,10.79055326,Private room,296,1,6,20/08/2018,1.13,1,0
19116637,Supernice 3 room apt in beautiful neighborhood,22681202,Tina Madeleine,,Frogner,59.91366538,10.71410508,Entire home/apt,1100,2,5,20/07/2017,0.29,1,0
19117844,"1,5 room apartment in central Oslo.",133593517,Elin,,Frogner,59.92687732,10.72309244,Entire home/apt,651,3,1,10/09/2017,0.07,1,0
19119253,Pir 2-Exclusive Apartment,58865973,Kevin,,Gamle Oslo,59.90202814,10.75199473,Entire home/apt,4897,2,2,23/08/2017,0.13,18,356
19125185,The Kjenner Mathisen House,79626109,Helge Kjenner,,Vestre Aker,59.94608731,10.6719341,Entire home/apt,1201,5,0,,,1,179
19126926,Amazing view and a unique room with this one weird,121079287,Martin,,Grünerløkka,59.92287226,10.75291972,Entire home/apt,651,1,28,25/12/2017,1.58,1,0
19127159,Vigelandsparken - locaded in the heart of  Oslo,26854946,Anniken,,Frogner,59.92488445,10.71326007,Entire home/apt,998,6,1,25/08/2017,0.07,1,0
19129160,Top apartment/Luxurious area -Live out your dream!,96815181,Thomas,,Frogner,59.90766131,10.72266195,Entire home/apt,1303,2,11,19/08/2018,0.77,1,365
19129752,2 rooms with a private bathroom,36405823,Tatiana,,Grünerløkka,59.93313537,10.79424053,Private room,347,1,7,13/08/2018,0.42,1,3
19133277,"The best value for money, central, 2 bedroom",9758585,John,,Gamle Oslo,59.91195372,10.77092947,Entire home/apt,448,5,9,07/11/2018,0.57,1,34
19135010,Beautiful apartment in upscale neighbourhood,51199842,Kristoffer,,Frogner,59.92001242,10.70818415,Entire home/apt,990,2,7,09/07/2018,0.4,1,0
19136047,Charming apt w/sunny balcony in Torshov,5330409,Alf Marius,,Sagene,59.93655396,10.76643244,Entire home/apt,516,2,5,13/05/2018,0.29,1,0
19136097,Modern and cozy flat in the heart of oslo.,50519429,Hanna,,Gamle Oslo,59.90374186,10.77401427,Entire home/apt,651,2,9,05/11/2018,3.42,2,9
19138444,Stor murvilla nære sentrum og Marka,73596978,Jan Fredrik,,Nordre Aker,59.95382515,10.73295768,Entire home/apt,1751,7,3,31/07/2018,0.55,1,11
19138506,Sentral 2-roms,49264120,Giuseppe,,Grünerløkka,59.92421315,10.780906,Entire home/apt,601,2,0,,,1,53
19140313,Cozy and quiet 3 bedroom flat,21848629,Galina,,Bjerke,59.94052044,10.81932597,Entire home/apt,499,4,0,,,1,0
19147294,Quiet room in the heart of Grünerløkka,14231737,Hanna,,Grünerløkka,59.92556049,10.75604489,Private room,398,14,35,17/11/2018,2.39,2,87
19149228,Top floor in Løren with balcony and a view,53961228,Heidi,,Grünerløkka,59.93336651,10.79012563,Entire home/apt,998,5,7,28/08/2017,0.42,1,0
19150752,Cozy private room on solliplass,88353016,Sol,,Frogner,59.91380126,10.7232679,Private room,601,30,2,18/08/2017,0.13,1,0
19150891,The whole appartment free from 1st of december!,44271885,Maria,,Sagene,59.94261257,10.76663975,Entire home/apt,1996,10,2,04/05/2018,0.15,1,348
19151606,Cosy appartement in St. Hanshaugen/Iladalen,39022552,August,,St. Hanshaugen,59.93241235,10.74931089,Entire home/apt,753,5,3,21/08/2017,0.19,1,0
19152193,Gørbitz's,3580008,Linn,,St. Hanshaugen,59.93290373,10.72675313,Entire home/apt,1049,2,0,,,1,364
19152261,Delicate apartment in nice and well connected area,6892936,Anne-Kathe,,Sagene,59.9421347,10.77823788,Entire home/apt,702,2,12,02/09/2018,0.71,1,64
19159601,Super central flat in the heart of Oslo,77660942,Marcus,,Gamle Oslo,59.91497943,10.76825871,Entire home/apt,998,2,2,29/06/2017,0.12,1,0
19159647,My headquarters in center of Grunerlokka :),86701419,Tomek,,Grünerløkka,59.92141992,10.75701271,Private room,279,7,1,18/07/2017,0.06,1,0
19160883,"Hip, urban grünerløkka",131284896,Maiken,,Grünerløkka,59.92323419,10.7621691,Entire home/apt,998,3,0,,,1,0
19166550,Apartment close to shopping and attractions!!,17254147,Stian,,Frogner,59.92943348,10.72431686,Entire home/apt,1100,2,23,17/09/2017,1.32,1,23
19167042,Scandinavian-style apartment with nice balcony,134038928,Christen,,Frogner,59.92214425,10.73025145,Entire home/apt,727,3,0,,,12,0
19168051,Big apartment - super family friendly,134038928,Christen,,Frogner,59.91628381,10.71271508,Entire home/apt,1497,3,1,14/07/2017,0.06,12,0
19170471,Spacious Flat - Central location with Balcony,134038928,Christen,,St. Hanshaugen,59.91776034,10.7509787,Entire home/apt,736,3,54,04/11/2018,3.15,12,69
19171274,Quite Flat with beautiful interior,134038928,Christen,,Grünerløkka,59.92291602,10.75916807,Entire home/apt,888,3,0,,,12,0
19172009,Cozy classical Oslo apartment with Balcony,134038928,Christen,,Grünerløkka,59.92187097,10.79086462,Entire home/apt,837,3,0,,,12,0
19173722,Cozy two bedroom apartment central in Oslo,132800177,Sylvia,,St. Hanshaugen,59.92314723,10.73450979,Entire home/apt,736,4,0,,,1,0
19174288,"Charming, central apartment with balcony",4151842,Solveig Sophia,,Grünerløkka,59.92225574,10.77296137,Entire home/apt,804,3,12,22/07/2018,0.71,1,0
19176454,Charmy & Spacious Apartment in the Heart of Oslo,2209511,A,,Frogner,59.91234273,10.72144905,Entire home/apt,964,1,12,03/09/2018,0.69,3,364
19176925,Modern apartment with balcony and fitness center,134038928,Christen,,Sagene,59.9343067,10.76057903,Entire home/apt,626,3,0,,,12,0
19177515,Large flat next to the Royal Palace,38428095,Sindre,,Frogner,59.92084665,10.73047872,Entire home/apt,905,2,23,04/11/2018,1.45,1,111
19177587,Cosy and supercentral apartment,134123760,Andreas,,St. Hanshaugen,59.91906895,10.73918318,Entire home/apt,601,2,3,01/01/2018,0.19,1,0
19177978,Central apartment by the river in Grünerløkka.,134124840,Terje,,Grünerløkka,59.91911738,10.75689082,Entire home/apt,998,8,5,11/08/2018,0.32,1,0
