id,host_id,host_name,room_type,price,minimum_nights
125,1154064,Maya,Entire home/apt,1100,3
126,1158876,Janaina,Entire home/apt,448,1
127,1158876,Janaina,Entire home/apt,398,1
128,1163480,Christian,Entire home/apt,601,3
129,1186610,Kitty,Entire home/apt,846,5
130,1186634,Anne Marit,Private room,482,30
131,1188786,Siri,Entire home/apt,897,2
132,1188833,Marthe,Entire home/apt,1201,4
133,1221776,Rannveig & Johan,Entire home/apt,837,2
134,1234469,Frank,Entire home/apt,584,4
135,1252912,Solveig,Entire home/apt,998,3
136,1258006,Alice,Entire home/apt,998,3
137,1261624,Ann-Helen,Entire home/apt,601,2
138,1264119,Adam Sindre,Entire home/apt,1895,3
139,1272535,Elin,Entire home/apt,1269,1
140,1275127,Erik,Entire home/apt,913,1
141,1275888,Jakob,Entire home/apt,1387,5
142,1276223,Siri,Entire home/apt,643,5
143,1282374,Helge,Entire home/apt,1100,2
144,1282757,Einar,Entire home/apt,990,2
145,1286158,Marie,Entire home/apt,626,1
146,1321750,Sondre,Entire home/apt,804,2
147,1324869,Bente,Private room,347,2
148,1341007,Christine,Private room,584,2
149,1341007,Christine,Entire home/apt,1201,2
150,1342398,Live,Entire home/apt,1201,2
151,1347737,Kï¿½ï¿½ï¿½ï¿½,Entire home/apt,414,1
152,1347737,Kï¿½ï¿½ï¿½ï¿½,Entire home/apt,753,1
153,1374835,Cato,Entire home/apt,1193,2
154,1386261,Gangadai,Entire home/apt,1937,1
155,1386261,Gangadai,Entire home/apt,1159,1
156,1386261,Gangadai,Entire home/apt,1937,3
157,1389562,Erik,Entire home/apt,1396,4
158,1405824,Odin Hï¿½ï¿½,Entire home/apt,499,8
159,1426018,Ulrik,Entire home/apt,1700,7
160,1446986,Liv Inger,Entire home/apt,1100,1
161,1448804,Maja,Entire home/apt,1100,2
162,1492345,Rebecka,Entire home/apt,550,4
163,1497013,Beate,Entire home/apt,601,2
164,1497013,Beate,Private room,499,1
165,1497013,Beate,Entire home/apt,897,2
166,1503341,Jo Espen,Entire home/apt,753,5
167,1519020,Tommy,Entire home/apt,770,2
168,1522586,Peter,Entire home/apt,947,1
169,1525664,Magnus,Entire home/apt,406,2
170,1533713,Thomas,Entire home/apt,804,6
171,1534908,Ole,Private room,499,2
172,1535881,Therese,Private room,398,4
173,1535881,Therese,Private room,398,3
174,1535881,Therese,Private room,398,3
175,1535881,Therese,Private room,398,3
176,1535881,Therese,Private room,398,7
177,1535881,Therese,Private room,398,3
178,1542470,Christine,Entire home/apt,626,2
179,1549098,Anita,Private room,448,2
180,1549098,Anita,Entire home/apt,871,2
181,1573741,Elen Sonja,Entire home/apt,1497,3
182,1575345,Sverre,Entire home/apt,753,1
183,1576782,Pï¿½,Entire home/apt,998,1
184,1580257,Siren,Entire home/apt,973,2
185,1580632,Camilla&Richard,Entire home/apt,795,7
186,1582867,Line Mari,Entire home/apt,1015,2
187,1582867,Line Mari,Entire home/apt,947,1
188,1585650,Heidi,Entire home/apt,804,2
189,1593405,Eirik,Entire home/apt,837,10
190,1598559,Pia,Entire home/apt,753,1
191,1610119,Lene,Private room,448,3
192,1610119,Lene,Entire home/apt,998,4
193,1614549,Peter Piotr,Private room,372,3
194,1614549,Peter Piotr,Private room,702,3
195,1616331,Anita,Private room,423,1
196,1623024,Anne Helene,Entire home/apt,1599,3
197,1629270,Ivar,Private room,296,1
198,1641966,Barbara,Entire home/apt,998,6
199,1647698,Lars,Entire home/apt,2901,2
200,1648450,Hanna,Entire home/apt,947,4
201,1650744,Martin,Entire home/apt,2994,2
202,1654700,Mari,Entire home/apt,804,2
203,1666098,Annie,Entire home/apt,1100,7
204,1666926,Niklas,Entire home/apt,888,2
205,1670033,Haakon,Entire home/apt,998,6
206,1670373,Hege,Entire home/apt,524,2
207,1682330,Tina,Entire home/apt,1218,3
208,1689500,Trond,Private room,1159,5
209,1706185,Marte,Entire home/apt,998,2
210,1709222,Andreas,Entire home/apt,804,2
211,1717013,Ebbe,Private room,1446,2
212,1724279,Stephanie,Entire home/apt,1303,4
213,1726556,Lina,Entire home/apt,601,2
214,1726741,Pernille,Entire home/apt,753,5
215,1738865,Anne-Grete,Private room,398,1
216,1770281,Christopher,Private room,990,1
217,1772813,Mari & Stephan,Entire home/apt,719,3
218,1785310,Steeve,Entire home/apt,947,1
219,1785310,Steeve,Private room,431,1
